OBJECTID,tag,status,cbu,owner,metered,fire_line,diameter,material,polywrap,yr_inst,length,yr_abandon,yr_removed,yr_replace,comments,NumberOfMa,Shape_Leng,Score,Soil_Comp,Soil_Comp_Full,Soil_Hydro_Group,Shape_Length,ElevChange,NumberofSLs
2400,wp25390,i,y,CBU,n,n,8,DI,n,2010,18,0, , , ,0,17.97397129,4,HoC,"Hosmer silt loam, 6 to 12 percent slopes",Group D,17.97397129,0,0
2401,wp17626,i,y,CBU,n,n,8,DI,n,2002,97,0, , , ,0,96.95926628,4,Ua,"Udorthents, loamy",,96.95926628,0.909423828,0
2402,wp20177,i,y,CBU,n,n,16,DI,n,2006,411,0, , , ,0,394.0943537,4,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group C,394.0943537,0.202102661,0
2403,wp20211,i,y,CBU,n,n,16,DI,n,2006,72,0, , , ,0,73.44528403,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,73.44528403,1.557525635,0
2404,wp20224,i,y,CBU,n,n,12,DI,n,2006,51,0, , , ,0,50.50777446,4,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group C,50.50777446,1.102554321,0
2405,p5114,i,y,CBU,n,n,6,CI,n,1961,470,0, , , ,0,469.767467,3,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,469.767467,10.74395752,9
2406,p5115,i,y,CBU,n,n,6,CI,n,1961,329,0, , , ,4,329.4308324,1,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,329.4308324,4.486160278,6
2407,wp356,i,y,CBU,n,n,4,DI,n,1995,184,0, , , ,0,184.360254,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,184.3602541,0.379196167,3
2408,wp3823,i,y,CBU,n,n,8,DI,n,1996,306,0, , , ,0,305.6219428,4,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group C,305.6219428,3.287887573,2
2409,wp3979,i,y,CBU,n,n,24,DI,n,1996,143,0, , , ,0,142.6243123,4,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group C,142.6243123,0.620315552,0
2410,wp20674,i,y,CBU,n,n,6,DI,n,2006,32,0, , , ,0,32.08317289,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,32.08317288,0.038116455,0
2411,wp23010,i,y,CBU,n,n,12,DI,n,2008,90,0, , , ,0,90.12950609,4,HoC,"Hosmer silt loam, 6 to 12 percent slopes",Group D,90.12950609,0.064727783,0
2412,wp26827,i,y,CBU,n,n,12,DI,n,1996,120,0, , , ,0,119.788973,4,AgrC,"Apalona-Zanesville silt loams, 6 to 12 percent slopes",Group C,119.788973,3.280334473,0
2413,wp19324,i,y,CBU,n,n,24,DI,n,1972,32,0, , , ,0,32.11371237,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,32.11371237,1.16078186,0
2414,wp21876,i,y,CBU,n,n,12,DI,n,1989,102,0, , , ,0,101.9443572,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,101.9443572,1.014251709,0
2415,wp21878,i,y,CBU,n,n,12,DI,n,1989,96,0, , , ,0,95.88038567,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,95.88038567,0.032012939,0
2416,wp17861,i,y,CBU,n,n,6,DI,n,2004,108,0, , , ,0,103.2615433,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,103.2615433,0.178833008,4
2417,wp17863,i,y,CBU,n,n,12,DI,n,2004,358,0, , , ,0,344.9402668,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,344.9402668,3.75062561,3
2418,wp20139,i,y,CBU,n,n,6,DI,n,2006,44,0, , , ,0,43.92823536,4,BdB,"Bedford silt loam, 2 to 6 percent slopes",Group C/D,43.92823536,0.158721924,1
2419,wp20171,i,y,CBU,n,n,16,DI,n,2006,16,0, , , ,0,16.51825857,4,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group C,16.51825857,0,0
2420,wp20173,i,y,CBU,n,n,16,DI,n,2006,18,0, , , ,0,15.97886646,4,CaD,"Caneyville silt loam, 12 to 18 percent slopes",Group C,15.97886646,0.509597778,0
2421,wp11981,i,y,CBU,n,n,12,DI,n,1996,380,0, , , ,0,380.1243834,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,380.1243834,1.109725952,0
2422,wp14845,i,y,CBU,n,n,2,S21,n,2002,81,0, , , ,0,80.48145387,0,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,80.48145387,0.16166687,5
2423,wp14846,i,y,CBU,n,n,2,S21,n,2002,51,0, , , ,0,48.77975808,0,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,48.77975808,0.323135376,1
2424,wp14975,i,y,CBU,n,n,6,DI,n,2002,145,0, , , ,0,146.7890211,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,146.7890211,1.847579956,0
2425,wp24926,i,y,CBU,n,n,6,CI,n,1970,78,0, , , ,0,78.0341625,3,Ua,"Udorthents, loamy",,78.0341625,0.370895386,0
2426,wp24927,i,y,CBU,n,n,6,CI,n,1970,24,0, , , ,0,23.77923102,3,Ua,"Udorthents, loamy",,23.77923102,0.029510498,0
2427,wp24656,i,y,CBU,n,n,12,DI,n,2009,65,0, , , ,0,70.26386296,4,CrC,"Crider silt loam, 6 to 12 percent slopes",Group B,70.26386296,1.15411377,1
2428,wp25344,i,y,CBU,n,n,12,DI,n,1989,19,0, , , ,0,19.24897725,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,19.24897725,0.24395752,0
2429,wp21880,i,y,CBU,n,n,12,DI,n,1989,22,0, , , ,0,22.31395539,4,HtB,"Hosmer-Urban land complex, 2 to 12 percent slopes",Group D,22.31395539,0,1
2430,wp23640,i,y,CBU,n,n,24,DI,n,2008,18,0, , , ,0,18.20373732,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,18.20373731,0.515060425,1
2431,wp18925,i,y,CBU,n,n,8,DI,n,2005,343,0, , , ,0,341.0021024,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,341.0021024,2.310516357,9
2432,wp18962,i,y,CBU,n,n,6,DI,n,2006,21,0, , , ,0,21.13883808,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,21.13883808,0.143066406,0
2433,wp18963,i,y,CBU,n,n,8,DI,n,2005,65,0, , , ,0,59.95167831,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,59.95167831,0.677719116,2
2434,wp17766,i,y,CBU,n,n,8,DI,n,2003,106,0, , , ,0,105.5858963,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,105.5858963,0.921356201,1
2435,wp20511,i,y,CBU,n,n,24,DI,n,1972,47,0, , , ,0,47.38868769,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,47.38868769,1.033081055,0
2436,wp19373,i,y,CBU,n,n,24,DI,n,1972,30,0, , , ,0,30.49443338,4,CtC,"Crider-Urban land complex, 6 to 12 percent slopes",Group B,30.49443338,0.896514893,0
2437,wp19386,i,y,CBU,n,n,12,DI,n,2005,108,0, , , ,0,106.5867373,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,106.5867373,1.481842041,0
2438,wp19395,i,y,CBU,n,n,12,DI,n,2005,34,0, , , ,0,32.88270192,4,CtB,"Crider-Urban land complex, 2 to 6 percent slopes",Group B,32.88270192,0.531082153,0
2439,wp19412,i,y,CBU,n,n,16,DI,n,2005,63,0, , , ,0,62.72003331,4,BdB,"Bedford silt loam, 2 to 6 percent slopes",Group C/D,62.72003332,0.74005127,0
2440,wp19437,i,y,CBU,n,n,12,DI,n,2005,162,0, , , ,0,162.434912,4,CrB,"Crider silt loam, 2 to 6 percent slopes",Group B,162.434912,0.59463501,0
2441,wp19449,i,y,CBU,n,n,4,DI,n,2005,70,0, , , ,0,68.94741454,4,Ua,"Udorthents, loamy",,68.94741454,0.700576782,0
