FID,tag,wodate,datedone,size,material,install_yr,location,comments,abandoned,globalid
706,wpbrk0900,07/10/00,07/10/00,2,Unknown,unknown,private 2inch break/1440 N Woodburn, ,n,{64934032-ABCE-428E-A709-DB176D95DF3A}
707,wpbrk0901,01/03/01,01/03/01,6,CI,1971,2751 E Spicewood Ln/19' N of CL, ,n,{3C51D5C4-BCF2-4851-A47C-75BC8A9E8D8E}
708,wpbrk0902,11/06/00,11/06/00,12,DI,1991,3111 S Forrester/19'E of CL/corp leak(to E), ,n,{0FD0F212-0109-4DFB-9D62-67A532F2FDE3}
709,wpbrk0903,12/18/00,12/18/00,6,unknown,unknown,"70 feet south of valve, S of Dodds St", ,n,{20856065-B3BB-4D49-9B4B-DB5C877EBFC4}
710,wpbrk0904,12/19/00,12/19/00,6,CI,1959,"1.25"" diam hole; 7"" full seal clamp", ,n,{F99873AD-C4E3-4B1A-9B17-D8292CCE0B0A}
711,wpbrk0908,06/00/00,06/00/00,6,DI,1980,"NW of 1817 S Maxwell St, 6ft E of CL", ,n,{452F83C6-8771-454B-B251-4F39B27D3752}
712,wpbrk0910,05/03/01,05/03/01,6,CI-lead joint,1922,fire line to Fountain Square, ,n,{60DEC92E-370D-400B-8550-681D4B5489AC}
713,wpbrk0914,12/12/00,12/12/00,6,CI,1958,22 ft W of Hyd-1029, ,n,{9208FC6D-3371-4D2D-9207-8EC829C9E65B}
714,wpbrk0915,09/23/00,09/26/00,6,CI,1959,"53' W of Hyd-986, 8' S of CL, full seal", ,n,{E0094726-61ED-42DE-947C-5E2FF1F26731}
715,wpbrk0916,07/12/00,07/12/00,12,CI,1958,"18' repl, valve added 14' N of tapping tee", ,n,{8CD8EE8A-B898-4899-8994-23364F354D6C}
716,wpbrk0917,01/26/01,01/26/01,6,CI,1956,"6"" deep under creek, under 30"" ash tree", ,n,{4C4120D5-E9E7-4B0A-B523-1F6E2289E2BC}
717,wpbrk0919,11/29/00,11/29/00,1-1/2,Galvanized,unknown,1606 E 1st/ galvanized line not on GIS, ,n,{5A89CE9C-4D91-4624-ADE7-DDC4FC118784}
718,wpbrk0921,05/15/01,05/15/01,4,unknown,unknown,"509 N Colony/8""Wof back-curb/6'N hyd/full seal", ,n,{2BFA3ABC-0502-43C1-B11E-1308EEEB4386}
719,wpbrk0923,01/30/02,01/30/02,2,CI,1970,service line break 4'south of meter pit, ,n,{4E56A3A5-C9C9-4E45-A392-294246E126A5}
720,wpbrk0926,04/04/96,04/04/96,20,Steel,1962,welded steel plate on leak, ,n,{787A7363-5B09-46C3-A4D6-D38B0F60DBE3}
721,wpbrk0927,04/04/96,04/04/96,20,Steel,1962,hole in steel main fitting with plug welded on main, ,n,{071C3070-072D-4293-AA6B-4AD0C90F67EA}
722,wpbrk0928,04/10/96,04/10/96,6,unknown,unknown,4154 E Hector Dr, ,n,{E4862B57-FB8C-463A-9455-E75ECA69BE25}
723,wpbrk0929, , ,6,CI,1970, , ,n,{08E9718B-2DC6-4A6E-A425-3110A7472A22}
