FID,tag,pipe_tag,pipe_year,date_repor,time_repor,reported_b,date_repai,time_start,time_compl,temperatur,address,pressure_z,direction_,surface_ab,traffic,pressure_c,chl_res_1_,pressure_1,chl_res_11,tallest_bu,special_se,size_of_ma,outside_di,depth_of_p,pipe_mater,type_of_jo,other_line,existing_b,descriptio,damaged_pa,deteriorat,type_of_fa,prev_leaks,number_of_,cause_of_b,remarks,repaired_o,method_of_,repairs_ma,comments,pres_ch_3_,chl_res_3_,pres_ch_31,chl_res_31,solution_s,trench_pum,pump_size_,line_flush,both_direc,abandoned,globalid
428,447,r3979,1964,2019-10-31,1300, ,2019-10-31,1400,1600, ,E Allendale Dr and E Dunstan Dr, , ,Paved,Medium,82,0,0,0,2,No,6,0,48,Ductile Iron,Push-on/Slip, ,Native Soils,Water Main,Pipe Barrel,Outside,Blow Hole,N,0,Defect in Pipe, ,Repaired,Leak Clamp,No, ,82,0,0,0,N,Yes,2,Y,N,n,{2B5AF442-BE92-4F40-9F0B-C8E080F337FB}
429,433,r4037,1979,2019-11-09,1900,Customer,2019-11-09,2130,2315,2494,2494 S. Winslow Ct.,Central,Loop,Paved,Light,100,0,0,0,2, ,6,0,48,Ductile Iron, , ,Gravel/Sand,Water Main,Pipe Barrel,Both,Blow Hole,Y,0,Defect in Pipe, ,Repaired,Leak Clamp,No, ,100,0,0,0, ,Yes,Vactor, , ,n,{A0A0E3A2-C09A-472F-AB10-DD10F6895E3E}
430,428,wp4515,1996,2019-10-22,1500, ,2019-10-22,1515,1600,Cold,607 S. Adams, ,E to W,Paved,Light,101,0,99,0,1,n,6,6.9,36,Ductile Iron, , , ,Valve,Valve, ,Bolt Leak,N,0, , , ,R,No, ,0,0,0,0,Y,No, ,Y,N,n,{7F22E4C1-0197-4C3F-B653-EBCD7CD3DDBD}
431,446,r541,1951,2019-11-18,1330,Contractor,2019-11-18,1530,1700,Freezing,625 Audubon,IU,S to N,Lawn, ,0,0,65,1.95,2,N,6,0,44,Ductile Iron, ,N,Native Soils,Service Lateral,Pipe Barrel, ,Corporation,y,0,contractor,Reed and Sons,Repaired,Leak Clamp,No, ,0,0,65,1.95,n,Yes,2,y,n,n,{E87AD0F1-31C0-4808-AC2F-D3542AEB3D3E}
432,441,wp32394,1971,2019-11-11,840,BPD,2019-11-12,1000,1130,Freezing,2417 Spicewood,Central,Loop,Lawn,Light,0,0,77,1.8,2,N,6,0,36,Ductile Iron,Push-on/Slip,Gas,Gravel/Sand,Water Main,Pipe Barrel,Both,Blow Hole,n,0,Temp, ,Repaired,Leak Clamp,Yes, ,0,0,77,1.8,N,Yes,2,Y,N,n,{E5F4B03B-18EB-4F3E-98B8-0DEFF8E0191A}
433,443,wp29557,1946,2019-11-25,1400,Citizen,2019-11-25,1515,1730,Cold,2227 S. Rogers,Central,E to W,Lawn, ,86,1.8,0,0,1,n,4,4.8,48,Cast Iron, ,n,Native Soils,Water Main,Pipe Barrel,Outside,Blow Hole,n,0,Defect in Pipe, ,Repaired,Leak Clamp,Yes, ,83,1.8,0,0,N,Yes,4,N, ,n,{62DB3633-F17C-4395-98DE-24E7250DB43C}
434,439,p5148,1961,2019-11-28,700,Citizen,2019-11-28,830,1200,Cold,3417 N. Stoneycrest,Central,Loop,Paved,Light,81,0.65,0,0,2,n,6,6.8,52,Cast Iron,Push-on/Slip,n,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,Y,0,Ground Movement, ,Repaired,Leak Clamp,Yes, ,83,0.6,0,0,n,Yes,4,n, ,n,{4A7F4CF6-6B7E-4990-97B9-3D459985261D}
435,445,wp9878,1951,2019-12-31,1515,Angie,2019-12-31,1515,1700, ,4275 N Old SR 37,Central,S to N,Lawn, ,0,0,0,0,2,n,6,6.9,42,Cast Iron, , ,Gravel/Sand,Water Main,Pipe Barrel, ,Blow Hole,n,0,Contractor,Hoe Ram,Repaired,Leak Clamp,No,Shut Down,0,0,62,2.2, ,Yes,2,y,n,n,{F8E85D50-7F44-4C0D-839D-E53474623D35}
436,429,u408,1991,2019-12-14,1630,Customer/BPD,2019-12-14,1900,2230,Cold,3101 E Daniel, , ,Lawn,n,0,0,0,0,2,n,6,0,60,Ductile Iron,Push-on/Slip, ,Native Soils,Water Main,Pipe Barrel,Outside,Blow Hole,y,0,Defect in Pipe,Replaced, , ,No, ,0,0,0,0,n,Yes,4,y,y,n,{0D31C9BE-07A6-43F0-BF93-55D6BF1EF957}
437,440, ,1953,2019-12-05,1825,BPD,2019-12-15,2030,2300,Cold,Henderson and Maxwell, , ,Paved, ,0,0,0,0,0, ,12,0,0,Cast Iron, , , , , , , , ,0, , , , , ,"Bad Tapping Saddle, No damage to Main",0,0,0,0, , , , , ,n,{CCA2CF20-1525-46F3-BA32-27113E30C100}
438,436,v4464,1966,2019-12-15,1000,Customer,2019-12-15,1300,1600,Cold,3712 E. BrownRidge,Central,Loop,Paved,Light,58,0,0,0,2,y,6,0,33,Cast Iron, ,n,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,n,0,Ground Movement, ,Repaired,Leak Clamp,Yes, ,58,0,0,0, ,Yes,4 and 2, , ,n,{8E10605B-EE42-479F-B807-413F1E968F71}
439,437,p4028,1986,2019-12-05,1239,Customer,2019-12-05,1400,1800,Cold,701 W Ralston, , ,Paved,Light,0,0,0,0,2,n,2,0,48,PVC, ,n, ,Water Main, , , ,n,0,Ground Movement, ,Replaced, ,No, ,0,0,0,0,n, , ,y, ,n,{0648964A-85CB-4F14-B08F-4FC903F63331}
440,442,q5173,1959,2019-11-23,840,Control,2019-11-23,840,0,Freezing,2978 N Ramble Rd E,Central,S to N,Paved,Light,0,0,92,0,2,n,6,6.9,48,Cast Iron,Push-on/Slip,n,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,y,0,Beam Break, ,Repaired,Leak Clamp, , ,0,0,92,0, ,No,4,n, ,n,{0A0A7653-F55D-4E29-B207-A4514A9951B4}
441,434,wp4141,1987,2020-01-21,1400,Customer,2020-01-21,1600,1700,Freezing,E Durham Dr, , ,Paved,Light,0,0,0,0,2,n,6,0,60,Ductile Iron,Push-on/Slip,n,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,n,0,Defect in Pipe, ,Replaced,Leak Clamp,No, ,0,0,0,0,n,Yes,2,y,n,n,{0C6C4965-2D38-4952-AEB9-04DA393F1977}
442,430,wp33077,1961,2019-11-14,1430,Contractor,2019-11-14,1445,1700,Cold,4414 N. Old SR. 37,IU,S to N,Gravel,Heavy,65,1.9,0,0,2,n,6,0,41,Cast Iron,Push-on/Slip,n,Native Soils,Water Main,Pipe Barrel,Outside, ,Y,0,Contractor,Reed and Sons,Repaired,Leak Clamp, , ,65,1.9,0,0,n,Yes,2,y,n,n,{B9C8874D-4CC2-4D03-8EA4-464329700490}
443,444,r541,1951,2019-11-18,1300,Contractor,2019-11-18,1330,1500,Freezing,4335 N. Old SR 37,IU,S to N,Gravel,Heavy,65,1.9,0,0,2,n,6,0,41,Cast Iron,Push-on/Slip,n,Native Soils,Water Main,Pipe Barrel,Outside,Blow Hole,y,0,Contractor,Reed and Sons,Repaired,Leak Clamp, , ,65,1.9,0,0,n,Yes,2,y,n,n,{75FAF5BF-6629-49AD-A187-6ABD811A87FB}
444,435,wp29262,1972,2020-01-24,1300,North H.S.,2020-01-24,1600,1830,Cold,3275 N. Prow Rd, , ,Paved,n,0,0,0,0,2,n,6,0,36,Cast Iron,Push-on/Slip,n,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,n,0,Ground Movement, ,Repaired,Leak Clamp,Yes, ,0,0,0,0,n,Yes,4,n, ,n,{C1F98E98-4AC3-47D4-8B8C-02DFC5CD4782}
445,438,I44147,1962,2020-01-26,1600,Homeowner,2020-01-26,1800,2000,Cold,717 S. Western Dr., , ,Lawn,None,0,0,0,0,2,n,6,0,60,Cast Iron,Push-on/Slip,n,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,n,0,Ground Movement, , , ,Yes, ,0,0,0,0,n,Yes,4,n, ,n,{14F69FD0-349E-4ECF-B2F9-A5611ECDD48C}
446,431,t4429,1967,2020-01-06,1200,Citizen,2020-01-06,1300,1630,Cold,885 s. Woodcrest Dr.,Central,Loop,Paved,Medium,60,1.82,0,0,2,n,6,6.9,48,Ductile Iron,Push-on/Slip,n,Gravel/Sand,Water Main,Pipe Barrel,Both,Blow Hole,n,0,Defect in Pipe, ,Repaired,Leak Clamp,No, ,60,1.84,0,0,n,Yes,4,Y,N,n,{DE42CC36-1FF7-4D74-B367-AA16A5815FF1}
447,455,wp10940,2000,2020-02-17,730,citizen,###############################################################################################################################################################################################################################################################,900,1230,Cold,3800 S. Bushmill Dr.,Central,Loop,Paved,Medium,90,1.81,90,1.83,2,n,8,9.05,60,Ductile Iron,Push-on/Slip, ,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,n,0,Defect in Pipe, ,Repaired,Leak Clamp,No, ,90,1.89,90,1.89,n,Yes,2,y,n,n,{BF5A842A-1951-4681-BAE3-AB27D9CB594A}
448,456,q4969,1989,2020-02-20,1630,Police,2020-02-21,2230,100,Freezing,2300 N. Fritz Dr.,Central,Loop,Ditch,Light,78,2.01,0,0,1, ,6,0,0,Ductile Iron, , , , , , , , ,0, , , , , , ,0,0,0,0, , , , , ,n,{93250489-2AF4-427C-AB37-03713C223583}
449,459,wp11957,1962,2020-02-06,1600,CBU Operator,2020-02-07,800,1100,Cold,100 S. Kingston,Central,S to N,Paved,Light,0,0,0,0,3,No,8,9.05,48,Cast Iron,Push-on/Slip, ,Native Soils,Water Main,Pipe Barrel, ,Circumferential,n,0, , ,Repaired,Leak Clamp,Yes, ,0,0,0,0, ,Yes,4,n, ,n,{2F5FFDCA-05E7-411C-A509-EA37044CA7F5}
450,460,wp16053,1988,2020-02-16,1455,CBU Operator,2020-02-17,1455,300,Freezing,3308 E Roy Schmalz,Central,W to E,Paved,Light,0,0,0,0,2, ,6,6.9,40,Ductile Iron,Push-on/Slip, ,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,y,2,Defect in Pipe,Replaced,Replaced, ,No,shut down,0,0,64,2.2,n,No, ,y,n,n,{6FC091BB-150A-492A-B47A-9E7FC0D73205}
451,461,s3929,1988,2020-01-08,1130,Home Owner,2020-01-08,1230,1330,Freezing,3420 Ashwood Dr,Central,Loop,Lawn,Light,85,2,0,0,2,n,6,0,42,Ductile Iron,Push-on/Slip, ,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,y,0,Temperature Changes, ,Repaired,Leak Clamp,No, ,85,2,0,0,N,Yes,2,y,n,n,{6D2A9A86-F750-4344-8729-E105A71542FE}
452,472,p444,1965,2020-06-07,300,BPD,2020-06-07,0,1500, ,640 S Morton St.,Central,S to N,Paved,Medium,0,0,0,0,2,No,24,0,72,Ductile Iron,Push-on/Slip,"Storm, Gas",Gravel/Sand, ,Pipe Barrel,Outside,Blow Hole,N,0,Defect in Pipe, ,Repaired,Leak Clamp,Yes, ,0,0,0,0,N,Yes,6,Y,N,n,{6E603E9E-CBCE-470C-BDF5-C3687DA539DB}
453,473,q42144,1982,2020-06-17,219,Control,2020-06-17,219,450,Mild,112 E Southern Dr,Central,E to W,Paved,Light,0,0,0,0,2,No,6,6.9,42,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Inside,Blow Hole,N,0,Unknown, ,Repaired,Leak Clamp,No,Shut Down,96,2.2,0,2.2,N,No, ,Y,N,n,{51B13BDE-4ED9-440F-B026-3440B785D3CA}
454,474,s4145,1970,2020-06-15,1445,Control,2020-06-15,1445,1950,Mild,2014 S Locust Ct.,Central,N to S,Paved,Light,0,2.2,0,0,2,No,4,4.8,54,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,Y,1,Unknown, ,Repaired,Leak Clamp,No,Shut Down,0,0,0,0,N,Yes,2,Y, ,n,{CE60CF23-8EAF-4019-9231-8395C5131189}
455,464,o4537,1995,2019-12-02,1200, ,2019-12-23,730,1300, ,Westplex,Central,N to S,Vacant Lot, ,138,2.1,0,2.1,2,n,6,6.98,48,Ductile Iron, ,n,Native Soils,Water Main,Pipe Barrel, ,Blow Hole,n,0,Defect in Pipe, ,Repaired, ,No, ,0,0,0,0,N,Yes,3,Y,N,n,{996D3DB0-E6A0-480D-9A3B-1097850B60E6}
456,465,wp25745,1965,2019-12-16,800,Passer By,2019-12-16,930,1030,Freezing,5001 N Buisness 37,IU,S to N,Lawn,Heavy,110,2.1,0,0,2,No,8,0,0,Cast Iron,Push-on/Slip, ,Native Soils,Water Main,Pipe Barrel,Both,Blow Hole,y,0,Defect in Pipe, ,Repaired,Leak Clamp,No, ,110,2.1,0,0,n,Yes,2,y,n,n,{7F2DA9BA-9ED0-4B75-8537-91CCBFE2C0CA}
457,466,u4434,1966,2020-01-11,1800,Citizen,2020-01-11,2000,2200,Cold,730 S. Christopher Dr.,Central,Loop,Paved,Light,44,1.82,0,0,2,n,6,6.9,42,Cast Iron, , , ,Water Main,Pipe Barrel,Both,Circumferential,n,0,Ground Movement, ,Repaired,Leak Clamp,Yes, ,46,1.82,0,0,n,Yes,2,n, ,n,{569BBE64-56BA-480E-9091-76419837D198}
458,467,r4479,1927,2020-01-10,1000,Home Owner,2020-01-10,1130,1300,Freezing,817 S. Park Ave,Central,S to N,Paved,Light,0,0,64,2.1,2,n,6,0,0,Cast Iron,Lead, ,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,n,0,Ground Movement, ,Repaired,Leak Clamp,No, ,0,0,64,2.1,n,Yes,2,y,n,n,{5D9B694B-BB93-4689-852E-E10E5AAB37FB}
459,468,r4930,1958,2020-01-11,1200,Citizen,2020-01-11,1300,1430,Cold,1630 E. Maplecrest Dr,Central,Loop,Lawn,Light,62,1.84,0,0,1,n,6,6.9,48,Cast Iron,Push-on/Slip, ,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,n,0,Ground Movement, ,Repaired,Leak Clamp,Yes, ,62,1.86,0,0,n,Yes,4,y,n,n,{0E426831-A52A-4F30-93FB-F405F5F7F801}
460,469,p561,1971,2020-01-27,1430,Citizen,2020-01-28,830,1200,Cold,5109 N. State Rd 37 Business,Central,S to N,Vacant Lot,Heavy,0,0,2.5,2.1,1,n,6,6.9,60,Cast Iron,Push-on/Slip, ,Native Soils,Water Main,Pipe Barrel, ,Longitudinal Split,n,0,Ground Movement, ,Replaced, ,No, ,0,0,160,2.16,y,Yes,2,y,n,n,{184F787D-C9AB-4A72-9C96-9B583B316D22}
461,470,wp18401,1950,2020-02-04,1730,Home Owner,2020-02-04,1900,2300,Below Freezing,1707 E 2nd St,Central,S to N,Paved,Light,74,2,0,0,2,n,4,0,36,Cast Iron,Push-on/Slip, ,Gravel/Sand,Water Main,Pipe Barrel,outside,Blow Hole,y,0,Temperature Changes, ,Repaired,Leak Clamp,No, ,74,2,0,0,n,Yes,2,y,n,n,{5E60F8B2-25B1-4539-A28E-D57E7892ED83}
462,475,r414,1980,2020-03-05,1830,Citizen,2020-03-06,730,1300,Cold,2125 S. Highland Ave.,Central, ,Lawn,None,78,2.1,0,0,2, ,6,0,44,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,N,0,Ground Movement, ,Repaired,Leak Clamp,No,Always > 20PSI,78,2.1,0,0,N,Yes,2,Y,N`,n,{734D5C1C-351F-4974-848E-2A36615AFCA2}
463,476,wp6315,1985,2020-07-15,915,Customer,2020-07-14,1130,1315,Hot,4283 E. Ramp Creek Rd.,Central,N to S,Paved,Medium,58,3.3,0,0,1,Yes,6,0,60,Ductile Iron,Not Uncovered,Cable,Gravel/Sand,Water Main,Pipe Barrel,Both,Blow Hole,Y,1,DIP, ,Repaired,Leak Clamp,No, ,58,3.3,0,0, ,Yes,2, , ,n,{C48AE936-EF6A-416D-A712-AC797FC08A39}
464,477,wp28997,1990,2020-05-05,400,Home Owner,2020-05-05,700,930,Mild,3229 Coppertree Dr.,Central,Loop,Paved,Light,90,1.9,0,0,2,N,8,0,36,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,Y,0,Defect in Pipe, ,Repaired,Leak Clamp,No, ,90,1.9,0,0,N,Yes,2,Y,N,n,{5197AB64-BCB5-4D48-8AFC-CB29B1CD47F8}
465,478,t395,1990,2020-05-12,700,Home Owner,2020-05-12,730,1100,Mild,3144 S. Coppertree Dr.,Central,Loop,Paved,Light,90,1.9,0,0,2,N,6,0,36,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,Y,1,Defect in Pipe, ,Repaired,Leak Clamp,No, ,90,1.9,0,0,Y,Yes,2,Y,N,n,{D0AEEB38-D31A-49F3-AC72-93828364F283}
466,479,p5040,1956,2020-02-20,900,Home Owner,2020-02-20,930,1100,Cold,2612 N. Skyline,IU,Loop,Lawn,Light,80,2.1,0,0,2,N,6,0,43,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Circumferential,Y,0,Ground Movement, ,Repaired,Leak Clamp,No, ,80,2.1,0,0,Y,Yes,2,Y,N,n,{08AAFEF0-9A1D-43CF-BD00-B5EFC01C242B}
467,480,p444,1965,2020-07-07,300,BPD,2020-07-07,700,1530, ,640 S. Morton, , ,Paved,Medium,0,0,0,0,2,No,24,0,72,Cast Iron,Push-on/Slip,"Storm, Gas",Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,N,0,Defect in Pipe, ,Repaired,Leak Clamp,Yes, ,0,0,0,0,N,Yes,6,Y,N,n,{FEFEE9EC-5BFA-4502-8ACA-4BC10E68677D}
468,481,wp25548,2011,2020-03-30,800,Home Owner,2020-03-30,845,1130, ,120 Hampton Ct.,East,N to S,Paved,Light,78,1.9,0,0,2,No,6,0,43,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,N,0,Temp Changes, ,Repaired,Leak Clamp,No, ,78,1.9,0,0,N,Yes,2,Y,N,n,{533EFCE9-5207-4FDF-A3F6-B42E8958707F}
469,482,wp14161,1969,2020-06-07,730,Citizen,2020-06-07,930,1200,Mild,2150 S Curry Pike,West,Loop,Lawn,Heavy,86,2,0,0,2,N,12,0,48,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,N,0,Ground Movement, ,Repaired,Leak Clamp,No, ,86,2,0,0,N,Yes,2,Y,N,n,{6AEB28C0-BECE-4542-A561-1BC20D9DBD2C}
470,483,wp10217,1970,2020-03-10,9,Street Dept,2020-03-10,1000,1330,Mild,965 S. College Mall Rd.,Central,Loop, ,Medium,84,2,0,0,2,N,6,0,72,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel, ,Blow Hole,N,0,Defect in Pipe, ,Repaired,Leak Clamp,No, ,84,2,0,0,Y,Yes,4,Y,N,n,{88E53EC7-9812-4224-8E69-91C220D2D0D2}
471,484,m417,1961,2020-09-09,1959,Control,2020-09-09,1950,5,Hot,2510 S. Hickory Leaf Dr.,West,N to S,Paved,Light,0,0,46,2.2,2,N,6,6.9,40,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel, ,Blow Hole,N,0,Unknown, ,Repaired,Leak Clamp,No,Throttled down to 6psi,0,0,80,2.2,N,Yes,2, , ,n,{5236A2DA-9B88-4216-B938-F5F6283CD2B8}
472,485,s558,1961,2020-09-13,1330,Citizen,2020-09-13,1430,1600,Hot,E. Richland Dr. & N. Rural St.,Central,S to N,Paved,Medium,77,2,77,1.98,2,N,6,6.9,42,Cast Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Circumferential,Y,0,Ground Movement, ,Repaired,Leak Clamp,Yes, ,77,2,77,1.98,N,Yes,2,N, ,n,{A960C7A2-DEAF-44AA-AD43-92FE25767D26}
473,486,wp20361,1995,2020-08-31,1300,Citizen,2020-08-31,1430,1800,Hot,508 S. Fess,Central,Loop,Paved,Light,80,2,0,0,2,N,8,0,38,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,N,0,Defect in Pipe, ,Repaired,Cut out / Replace,No, ,80,2,0,0,N,Yes,2,Y,N,n,{7EBDF2D6-B0C2-4C65-A1D9-27709C0C5013}
474,487,p4086,1989,2020-08-31,1830,Citizen,2020-08-31,2200,20,Hot,2626 S. Bryan,Central,Loop,Lawn,Light,94,2.1,0,0,1,N,6,0,0,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Outside,Blow Hole,Y,0,Defect in Pipe, ,Repaired,Leak Clamp,No, ,94,2.1,0,0,N,Yes,4,Y,N,n,{851E83D4-9152-40C0-881D-100E3C9F8332}
475,489,q5217,1959,2020-08-29,730,Home Owner,2020-08-29,1030,1530,Hot,327 Rusgan Dr.,Central, ,Paved,Light,0,0,0,0,2,N,6,0,0,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Longitudinal Split,N,0,Defect in Pipe, ,Replaced, ,No, ,0,0,0,0,N,Yes,2,Y, ,n,{AB44A26B-01CB-4803-A544-A1D03DAAE049}
476,490,wp18455,1959,2020-12-07,1200,Citizen,2020-12-07,1400,1500,Cold,115 S. Glenwood Ave. W,Central,Loop,Lawn,Medium,0,0,0,0,2,N,6,6.9,36,Cast Iron, , ,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,N,0,Ground Movement, ,Repaired,Leak Clamp,Yes, ,0,0,0,0,N,Yes,2,N,N,n,{AD244AF7-FBEC-4878-B2E7-B15F242EE782}
477,491,r44162,1925,2020-09-10,1040,Control,2020-09-10,1040,1430,Hot,635 S. Woodlawn Ave.,Central,S to N,Paved,Medium,0,0,0,0,2,N,4,4.8,36,Cast Iron,Lead,Sewer,Native Soils,Water Main,Pipe Barrel, ,Longitudinal Split,N,0,Unknown, ,Repaired,Leak Clamp,No,Shut down,0,0,0,0,N,Yes,2,Y,N,n,{8D5E470A-E863-4A66-93A0-B89F3B142168}
478,492,v3114,1975,2020-09-23,1800,Customer,2020-09-24,830,1100, ,4335 E. Paynetown Rd.,South,E to W,Paved,Light,0,0,0,0,1,Y,6,0,48,Ductile Iron,Not Uncovered,Live Water,Gravel/Sand,Water Main,Pipe Barrel,Both,Blow Hole,N,0,DIP, ,Repaired,Leak Clamp,No, ,41,2.7,0,0,N,Yes,Vac Truck, , ,n,{87B4C05E-5D4C-4F76-8B73-78E7E347BB33}
479,493,p4068,1989,2020-09-03,1330,Contractor,2020-09-03,1345,1500,Hot,2519 S. Madison,Central,Loop,Lawn,Light,90,2.1,0,0,2,N,6,0,42,Ductile Iron,Push-on/Slip,Sewer,Native Soils,Service Lateral,Other,Outside, ,N,0,Contractor, ,Repaired,Other,No, ,90,2.1,0,0,N,No, ,Y,N,n,{CFC7BFA6-63ED-4E81-8C60-A3CB6E37CEB0}
480,494,s3911,1976,2020-09-21,0, ,2020-09-21,800,1400, ,3317 Browning Place,Central,N to S,Paved, ,0,0,0,0,0, ,4,0,48,Cast Iron,Push-on/Slip, ,Stone,Main Break,Pipe Barrel, ,Blow Hole, ,0, , , ,Leak Clamp,Yes, ,0,0,0,0, , , , , ,n,{3D62DE25-AF1D-4EED-B87B-9699B844571A}
481,495,u41118,1987,2020-10-09,0, ,2020-10-09,645,1145, ,2707 E Brigs Bend,Central, ,Lawn, ,0,0,0,0,0, ,6,0,0,Ductile Iron, , , ,Main Break, , , , ,0, , , , , , ,0,0,0,0, , , , , ,n,{07FD7048-8964-4C08-9AB7-47420B7CFB21}
482,496,l4223,1969,2020-10-20,0, ,2020-10-20,2330,1330, ,1929 S. Curry Pike,West,Loop,Lawn, ,0,0,0,0,0, ,12,0,48,Cast Iron,Push-on/Slip,Storm,Stone,Main Break,Pipe Barrel, ,Circumferential, ,0, , ,Repaired,Leak Clamp,No, ,0,0,0,0, ,Yes,6, , ,n,{AD7DE6DC-177E-4757-8A1B-D437731B3B06}
483,497,s3948,1989,2020-10-25,0, ,2020-10-25,810,1400, ,2001 E Ashwood Ln,Central,E to W,Lawn, ,0,0,0,0,0, ,4,0,60,Ductile Iron,Push-on/Slip, ,Stone,Main Break,Pipe Barrel, ,Blow Hole, ,0, , , ,Leak Clamp, , ,0,0,0,0, , , , , ,n,{3D9F276E-FBFF-4A73-B725-D6E3B766B367}
484,498,s4347,1986,2020-11-09,0, ,2020-11-09,0,0, ,1908 Marilyn,Central,Loop,Paved, ,0,0,0,0,0, ,6,0,0,Ductile Iron,Push-on/Slip,None,Stone,Main Break,Pipe Barrel, ,Blow Hole, ,0, , , ,Leak Clamp, , ,0,0,0,0, , , , , ,n,{08A75C20-EB06-41B8-AF97-AB6DCD7D1343}
485,499,wp20964,2006,2020-11-10,0, ,2020-11-10,1400,1530, ,615 e 2nd st, , ,Paved, ,0,0,0,0,0, ,8,0,0,Ductile Iron,Push-on/Slip,"Sewer, Storm",Stone,Strike,hit corp unmarked, , , ,0, , , ,Leak Clamp,No, ,0,0,0,0, , , , , ,n,{F613153F-6512-44B5-980D-BE6F32A250F2}
486,500,wp8243,1962,2020-11-17,0, ,2020-11-17,1000,1200, ,416 South Hickory,West,Loop,Lawn, ,0,0,0,0,0, ,6,0,48,Cast Iron,Push-on/Slip,Gas,Stone,Main Leak,Pipe Barrel, ,Circumferential, ,0, , ,Repaired,Leak Clamp,Reduced >20psi, ,0,0,0,0, ,Yes,2, , ,n,{82043AF8-295E-416E-B7E1-E423AB7BA962}
487,501,s434,1956,2020-11-20,0, ,2020-11-20,900,1200, ,1587 e circle dr, , ,Paved, ,0,0,0,0,0, ,6,0,4,Cast Iron,Push-on/Slip,Gas,"Sand, Soil",Main Leak,Pipe Barrel, ,Circumferential, ,0, , , ,Leak Clamp,Yes, ,0,0,0,0, , , , , ,n,{FEB90207-8F48-47DF-A057-5747F08652BE}
488,503,s42176,1960,2020-11-23,0, ,2020-11-24,900,1030, ,1813 Arden Dr,Central,Loop,Paved, ,0,0,0,0,0, ,6,0,41,Cast Iron,Push-on/Slip, ,Stone,Main Leak, , ,Circumferential, ,0, , , ,Leak Clamp,Yes, ,0,0,0,0, , , , , ,n,{7D93254B-BEF4-4797-82B6-3466B9491876}
489,504,r4167,1982,2020-11-24,0, ,2020-11-24,1030,0, ,1826 S Highland,Central,Loop,Lawn, ,0,0,0,0,0, ,6,0,0,Ductile Iron,Push-on/Slip,Gas,Stone,Main Leak,Pipe Barrel, ,Blow Hole, ,0, , , ,Leak Clamp,Yes, ,0,0,0,0, , , , , ,n,{D6C3A52D-B3B2-4324-9A0C-4F69DA9A72DF}
490,505,u4621,1957,2020-11-26,0, ,2020-11-26,1200,0, ,608 N Kerry Dr,East,Loop,Paved, ,0,0,0,0,0, ,6,0,0,Cast Iron,Push-on/Slip,None,Stone,Main Leak,Pipe Barrel, ,Circumferential, ,0, , , ,Leak Clamp, , ,0,0,0,0, , , , , ,n,{AF8408CA-3F3B-4C5B-A7EA-0A750486F667}
491,506,p363,1980,2020-11-27,0, ,2020-11-28,900,1500, ,That Rd. and Rogers,South,S to N,Paved, ,0,0,0,0,0, ,6,0,36,Cast Iron,Push-on/Slip,None,Stone,Main Leak,Joint, ,Longitudinal Split, ,0, , ,Repaired,Leak Clamp,No, ,0,0,0,0, , , , , ,n,{2FE07009-3A0E-48F6-BB2D-C3979003BA6B}
