FID,tag,pipe_tag,pipe_year,date_repor,time_repor,reported_b,date_repai,time_start,time_compl,temperatur,address,pressure_z,direction_,surface_ab,traffic,pressure_c,chl_res_1_,pressure_1,chl_res_11,tallest_bu,special_se,size_of_ma,outside_di,depth_of_p,pipe_mater,type_of_jo,other_line,existing_b,descriptio,damaged_pa,deteriorat,type_of_fa,prev_leaks,number_of_,cause_of_b,remarks,repaired_o,method_of_,repairs_ma,comments,pres_ch_3_,chl_res_3_,pres_ch_31,chl_res_31,solution_s,trench_pum,pump_size_,line_flush,both_direc,abandoned,globalid
237,238,p48206,1954,2016-12-01,1445,Contractor,2016-12-01,1530,1830,Cold (40°F-55°F),17th & Maple Hydrant,Central,Loop,Paved,Medium,50,1.89,0,0,3,No,6,6.9,48,Cast Iron, ,None,Native Soils,Water Main,Pipe Barrel, , ,No,0,Contractor,Old Firc Arm Stubed Out/Contractor Damaged Corp,Replaced, ,No, ,52,1.92,0,0,Yes,Yes,2,Yes,No,n,{631F4370-8F88-4D5E-AE84-BACC5D22C0CD}
238,239,p4491,1980,2016-12-01,0, ,2016-12-01,800,1030,Cold (40°F-55°F),730 W Wylie St, ,E to W,Paved,Medium,70,2.2,0,0,2,No,6,6.9,53,Ductile Iron,Push-on/Slip,Live Water,Gravel/Sand,Water Main,Pipe Barrel, ,Corporation,Yes,1,Contractor,Joe Clark Excavating,Repaired, ,No, ,70,2.2,0,0,No,Yes,2,Yes,No,n,{505CD1C5-D86D-492A-8CB5-552E0F61294B}
239,240,p5617,1971,2016-12-01,1800, ,2016-12-02,800,1400,Cold (40°F-55°F),5005 N State Rd 37 Business, , ,Lawn,Heavy,155,1.5,0,0,2,No,8,9.05,84,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Corporation,No,0,Corporation Leaking, ,Repaired, ,No, ,0,0,0,0,No,Yes,2,Yes,No,n,{EC5B9E85-AD5D-4A7B-B143-7D022A31F6A7}
240,241,wp32224,1993,2016-12-08,730, ,2016-12-08,800,0,Below Freezing (<30°F),7th and Clark,Central,Loop,Paved,Medium,50,1.97,0,0,2,No,6,6.9,0,Ductile Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0,No,Yes,2,No,No,n,{F34D2734-B73C-40DB-A208-C24CE1ECEE32}
241,242,wp22920,1957,2016-12-08,1430,Customer,2016-12-08,1630,1710,Freezing (30°F-39°F),106 S Overhill,Central,Loop,Gravel,Light,50,2.05,50,2.08,1,Yes,6,0,42,Cast Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel,Both,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,50,0,50,0, ,Yes,2, , ,n,{72E463E6-885B-410C-B718-4171174C65FA}
242,243,o4738,1964,2016-12-14,1100, ,2016-12-14,1130,1500,Below Freezing (<30°F),15th & Illinios, ,Loop,Gravel,Medium,65,2.2,0,0,2,No,6,6.9,48,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Inside,Circumferential,No,0,Ground Movement, ,Repaired, , , ,0,0,0,0,No,Yes,2,No,No,n,{B77EC15F-8D0E-4B4D-8B2C-59094A62E9EE}
243,244,q5414,1965,2016-12-15,1500, ,2016-12-16,800,1100,Below Freezing (<30°F),504 Audobon & Scenic, ,Loop,Lawn,Medium,95,2.11,0,0,2,No,6,6.9,53,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Inside,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0,No,Yes,4,No,No,n,{B9E4690B-A341-44D0-A1B6-D3A12EB49043}
244,245,wp26666,1989,2016-12-19,0, ,2016-12-19,0,0,Cold (40°F-55°F),723 E Pepperidge Dr,South,Loop,Paved,Medium,50,2.04,0,0,2,No,6,0,60,Ductile Iron,Push-on/Slip,None,Gravel/Sand,Water Main,Pipe Barrel,Both,Blow Hole,No,0,Ground Movement, ,Repaired, ,No, ,50,2.04,0,0, ,Yes,4,Yes, ,y,{A2D13FEE-C856-423D-B802-69F7D28B5F2C}
245,246,s44125,195,2016-12-20,800, ,2016-12-20,930,1300,Below Freezing (<30°F),2nd and Rose Ave,Central,Loop,Paved,Medium,78,1.62,78,1.6,2, ,4,4.8,42,Cast Iron,Not Uncovered,None,Native Soils,Water Main,Pipe Barrel,Outside,Circumferential,No,0,Ground Movement, ,Repaired, ,Yes, ,78,1.6,78,1.62,No,Yes,4,No, ,n,{B225B8A6-56AD-4B09-A2DF-7AB994A88BF1}
246,247,t4152,1971,2016-12-21,600, ,2016-12-21,1300,0,Below Freezing (<30°F),2697 Rock Creek Dr,Central,E to W,Paved,Medium,98,2.2,0,0,2,No,4,0,53,Cast Iron,Push-on/Slip,None,Native Soils,Water Main,Pipe Barrel,Outside,Blow Hole,No,0,Ground Movement, ,Repaired, ,Yes, ,0,0,0,0, ,Yes,2,Yes, ,n,{17D8519D-1D2A-469D-A9B5-07943ED93317}
